Label,IPLength,IPHeaderLength,TTL,           Protocol,SourcePort,DestPort,SequenceNumber,AckNumber           ,WindowSize,TCPHeaderLength,TCPLength,TCPStream     ,TCPUrgentPointer,IPFlags,IPID,IPchecksum,TCPflags,TCPChecksum
Aria,60,20,64,6,62997,80,0,0,8688,40,0,0,0,0x00000000,0x0000c376,0x0000f87e,0x00000002,0x00001d93
Aria,40,20,64,6,62997,80,1,1,9660,20,0,0,0,0x00000000,0x0000c377,0x0000f891,0x00000010,0x000067cb
Aria,136,20,64,6,62997,80,1,1,9660,20,96,0,0,0x00000000,0x0000c378,0x0000f830,0x00000018,0x0000e1a9
Aria,64,20,64,6,62997,80,97,1,9660,20,24,0,0,0x00000000,0x0000c379,0x0000f877,0x00000018,0x0000867c
Aria,123,20,64,6,62997,80,121,606,9055,20,83,0,0,0x00000000,0x0000c37a,0x0000f83b,0x00000018,0x00005aa3
Aria,64,20,64,6,62997,80,204,606,9055,20,24,0,0,0x00000000,0x0000c37b,0x0000f875,0x00000018,0x00008611
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,0,0,0x00000000,0x0000c37c,0x0000f88c,0x00000019,0x000066df
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,0,0,0x00000000,0x0000c37d,0x0000f88b,0x00000010,0x000066e7
Aria,60,20,64,6,57766,80,0,0,8688,40,0,1,0,0x00000000,0x0000c37e,0x0000f876,0x00000002,0x0000407a
Aria,40,20,64,6,57766,80,1,1,9660,20,0,1,0,0x00000000,0x0000c37f,0x0000f889,0x00000010,0x0000ed71
Aria,69,20,64,6,57766,80,1,1,9660,20,29,1,0,0x00000000,0x0000c380,0x0000f86b,0x00000018,0x00007b2f
Aria,157,20,64,6,57766,80,30,1,9660,20,117,1,0,0x00000000,0x0000c381,0x0000f812,0x00000018,0x00004ae3
Aria,88,20,64,6,57766,80,147,1,9660,20,48,1,0,0x00000000,0x0000c382,0x0000f856,0x00000018,0x000084d7
Aria,40,20,64,6,57766,80,195,726,8935,20,0,1,0,0x00000000,0x0000c383,0x0000f885,0x00000019,0x0000eca6
Aria,40,20,64,6,57766,80,196,727,8934,20,0,1,0,0x00000000,0x0000c384,0x0000f884,0x00000010,0x0000ecae
Aria,60,20,64,6,62997,80,0,0,8688,40,0,2,0,0x00000000,0x0000c2fd,0x0000f9f7,0x00000002,0x0000b19d
Aria,40,20,64,6,62997,80,1,1,9660,20,0,2,0,0x00000000,0x0000c2fe,0x0000fa0a,0x00000010,0x0000c3fe
Aria,136,20,64,6,62997,80,1,1,9660,20,96,2,0,0x00000000,0x0000c2ff,0x0000f9a9,0x00000018,0x000008e9
Aria,64,20,64,6,62997,80,97,1,9660,20,24,2,0,0x00000000,0x0000c300,0x0000f9f0,0x00000018,0x0000e2af
Aria,123,20,64,6,62997,80,121,606,9055,20,83,2,0,0x00000000,0x0000c301,0x0000f9b4,0x00000018,0x000081e2
Aria,64,20,64,6,62997,80,204,606,9055,20,24,2,0,0x00000000,0x0000c302,0x0000f9ee,0x00000018,0x0000e244
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,2,0,0x00000000,0x0000c303,0x0000fa05,0x00000019,0x0000c312
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,2,0,0x00000000,0x0000c304,0x0000fa04,0x00000010,0x0000c31a
Aria,60,20,64,6,57670,80,0,0,8688,40,0,3,0,0x00000000,0x0000c305,0x0000f9ef,0x00000002,0x000076fd
Aria,40,20,64,6,57670,80,1,1,9660,20,0,3,0,0x00000000,0x0000c306,0x0000fa02,0x00000010,0x0000b29a
Aria,69,20,64,6,57670,80,1,1,9660,20,29,3,0,0x00000000,0x0000c307,0x0000f9e4,0x00000018,0x00004058
Aria,157,20,64,6,57670,80,30,1,9660,20,117,3,0,0x00000000,0x0000c308,0x0000f98b,0x00000018,0x0000100c
Aria,88,20,64,6,57670,80,147,1,9660,20,48,3,0,0x00000000,0x0000c309,0x0000f9cf,0x00000018,0x0000f964
Aria,40,20,64,6,57670,80,195,726,8935,20,0,3,0,0x00000000,0x0000c30a,0x0000f9fe,0x00000019,0x0000b1cf
Aria,40,20,64,6,57670,80,196,727,8934,20,0,3,0,0x00000000,0x0000c30b,0x0000f9fd,0x00000010,0x0000b1d7
Aria,60,20,64,6,62997,80,0,0,8688,40,0,4,0,0x00000000,0x0000c312,0x0000f9e2,0x00000002,0x00001536
Aria,40,20,64,6,62997,80,1,1,9660,20,0,4,0,0x00000000,0x0000c313,0x0000f9f5,0x00000010,0x00002e8f
Aria,136,20,64,6,62997,80,1,1,9660,20,96,4,0,0x00000000,0x0000c314,0x0000f994,0x00000018,0x0000ac77
Aria,64,20,64,6,62997,80,97,1,9660,20,24,4,0,0x00000000,0x0000c315,0x0000f9db,0x00000018,0x00004d40
Aria,123,20,64,6,62997,80,121,606,9055,20,83,4,0,0x00000000,0x0000c316,0x0000f99f,0x00000018,0x00002571
Aria,64,20,64,6,62997,80,204,606,9055,20,24,4,0,0x00000000,0x0000c317,0x0000f9d9,0x00000018,0x00004cd5
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,4,0,0x00000000,0x0000c318,0x0000f9f0,0x00000019,0x00002da3
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,4,0,0x00000000,0x0000c319,0x0000f9ef,0x00000010,0x00002dab
Aria,60,20,64,6,34406,80,0,0,8688,40,0,5,0,0x00000000,0x0000c31a,0x0000f9da,0x00000002,0x0000b5a6
Aria,40,20,64,6,34406,80,1,1,9660,20,0,5,0,0x00000000,0x0000c31b,0x0000f9ed,0x00000010,0x0000c5fb
Aria,69,20,64,6,34406,80,1,1,9660,20,29,5,0,0x00000000,0x0000c31c,0x0000f9cf,0x00000018,0x000053b9
Aria,157,20,64,6,34406,80,30,1,9660,20,117,5,0,0x00000000,0x0000c31d,0x0000f976,0x00000018,0x0000236d
Aria,88,20,64,6,34406,80,147,1,9660,20,48,5,0,0x00000000,0x0000c31e,0x0000f9ba,0x00000018,0x00005cd1
Aria,40,20,64,6,34406,80,195,726,8935,20,0,5,0,0x00000000,0x0000c31f,0x0000f9e9,0x00000019,0x0000c530
Aria,40,20,64,6,34406,80,196,727,8934,20,0,5,0,0x00000000,0x0000c320,0x0000f9e8,0x00000010,0x0000c538
Aria,60,20,64,6,62997,80,0,0,8688,40,0,6,0,0x00000000,0x0000c30a,0x0000f8ea,0x00000002,0x00008556
Aria,40,20,64,6,62997,80,1,1,9660,20,0,6,0,0x00000000,0x0000c30b,0x0000f8fd,0x00000010,0x00007204
Aria,136,20,64,6,62997,80,1,1,9660,20,96,6,0,0x00000000,0x0000c30c,0x0000f89c,0x00000018,0x0000d31d
Aria,64,20,64,6,62997,80,97,1,9660,20,24,6,0,0x00000000,0x0000c30d,0x0000f8e3,0x00000018,0x000090b5
Aria,123,20,64,6,62997,80,121,606,9055,20,83,6,0,0x00000000,0x0000c30e,0x0000f8a7,0x00000018,0x00004c17
Aria,64,20,64,6,62997,80,204,606,9055,20,24,6,0,0x00000000,0x0000c30f,0x0000f8e1,0x00000018,0x0000904a
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,6,0,0x00000000,0x0000c310,0x0000f8f8,0x00000019,0x00007118
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,6,0,0x00000000,0x0000c311,0x0000f8f7,0x00000010,0x00007120
Aria,60,20,64,6,64800,80,0,0,8688,40,0,7,0,0x00000000,0x0000c312,0x0000f8e2,0x00000002,0x00005fbe
Aria,40,20,64,6,64800,80,1,1,9660,20,0,7,0,0x00000000,0x0000c313,0x0000f8f5,0x00000010,0x00005112
Aria,69,20,64,6,64800,80,1,1,9660,20,29,7,0,0x00000000,0x0000c314,0x0000f8d7,0x00000018,0x0000decf
Aria,157,20,64,6,64800,80,30,1,9660,20,117,7,0,0x00000000,0x0000c315,0x0000f87e,0x00000018,0x0000ae83
Aria,88,20,64,6,64800,80,147,1,9660,20,48,7,0,0x00000000,0x0000c316,0x0000f8c2,0x00000018,0x0000b78d
Aria,40,20,64,6,64800,80,195,726,8935,20,0,7,0,0x00000000,0x0000c317,0x0000f8f1,0x00000019,0x00005047
Aria,40,20,64,6,64800,80,196,727,8934,20,0,7,0,0x00000000,0x0000c318,0x0000f8f0,0x00000010,0x0000504f
Aria,60,20,64,6,62997,80,0,0,8688,40,0,8,0,0x00000000,0x0000c30e,0x0000f8e6,0x00000002,0x0000f932
Aria,40,20,64,6,62997,80,1,1,9660,20,0,8,0,0x00000000,0x0000c30f,0x0000f8f9,0x00000010,0x0000487b
Aria,136,20,64,6,62997,80,1,1,9660,20,96,8,0,0x00000000,0x0000c310,0x0000f898,0x00000018,0x0000fbe3
Aria,64,20,64,6,62997,80,97,1,9660,20,24,8,0,0x00000000,0x0000c311,0x0000f8df,0x00000018,0x0000672c
Aria,123,20,64,6,62997,80,121,606,9055,20,83,8,0,0x00000000,0x0000c312,0x0000f8a3,0x00000018,0x000074dd
Aria,64,20,64,6,62997,80,204,606,9055,20,24,8,0,0x00000000,0x0000c313,0x0000f8dd,0x00000018,0x000066c1
Aria,40,20,64,6,62997,80,228,1231,8430,20,0,8,0,0x00000000,0x0000c314,0x0000f8f4,0x00000019,0x0000478f
Aria,40,20,64,6,62997,80,229,1232,8429,20,0,8,0,0x00000000,0x0000c315,0x0000f8f3,0x00000010,0x00004797
Aria,60,20,64,6,41529,80,0,0,8688,40,0,9,0,0x00000000,0x0000c316,0x0000f8de,0x00000002,0x0000227b
Aria,40,20,64,6,41529,80,1,1,9660,20,0,9,0,0x00000000,0x0000c317,0x0000f8f1,0x00000010,0x0000f49b
